Id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
1004,47.0,1,1,3,0,1506.0,1,0,2,5,8,92,1,-1,0,3,0
1005,33.0,11,2,3,0,1.0,0,0,2,5,8,198,1,-1,0,3,0
1006,35.0,4,1,2,0,231.0,1,0,2,5,8,139,1,-1,0,3,0
1007,28.0,4,2,2,0,447.0,1,1,2,5,8,217,1,-1,0,3,0
1011,41.0,0,0,1,0,270.0,1,0,2,5,8,222,1,-1,0,3,0
1012,29.0,0,2,1,0,390.0,1,0,2,5,8,137,1,-1,0,3,0
1013,53.0,9,1,1,0,6.0,1,0,2,5,8,517,1,-1,0,3,0
1014,58.0,9,1,3,0,71.0,1,0,2,5,8,71,1,-1,0,3,0
1015,57.0,7,1,1,0,162.0,1,0,2,5,8,174,1,-1,0,3,0
1016,51.0,5,1,0,0,229.0,1,0,2,5,8,353,1,-1,0,3,0
1017,45.0,0,2,3,0,13.0,1,0,2,5,8,98,1,-1,0,3,0
1018,57.0,1,1,0,0,52.0,1,0,2,5,8,38,1,-1,0,3,0
1019,60.0,5,1,0,0,60.0,1,0,2,5,8,219,1,-1,0,3,0
1020,33.0,7,1,1,0,0.0,1,0,2,5,8,54,1,-1,0,3,0
1021,28.0,1,1,1,0,723.0,1,1,2,5,8,262,1,-1,0,3,0
1022,56.0,4,1,2,0,779.0,1,0,2,5,8,164,1,-1,0,3,0
1023,32.0,1,2,0,0,23.0,1,1,2,5,8,160,1,-1,0,3,0
1024,25.0,7,1,1,0,50.0,1,0,2,5,8,342,1,-1,0,3,0
1025,40.0,5,1,0,0,0.0,1,1,2,5,8,181,1,-1,0,3,0
1026,44.0,0,1,1,0,-372.0,1,0,2,5,8,172,1,-1,0,3,0
1027,39.0,4,2,2,0,255.0,1,0,2,5,8,296,1,-1,0,3,0
1028,52.0,2,1,1,0,113.0,1,1,2,5,8,127,1,-1,0,3,0
1029,46.0,4,2,1,0,-246.0,1,0,2,5,8,255,2,-1,0,3,0
1030,36.0,9,2,1,0,265.0,1,1,2,5,8,348,1,-1,0,3,0
1031,57.0,9,1,1,0,839.0,0,1,2,5,8,225,1,-1,0,3,0
1032,49.0,4,1,2,0,378.0,1,0,2,5,8,230,1,-1,0,3,0
1033,60.0,0,1,1,0,39.0,1,1,2,5,8,208,1,-1,0,3,0
1034,59.0,1,1,1,0,0.0,1,0,2,5,8,226,1,-1,0,3,0
1035,51.0,4,1,2,0,10635.0,1,0,2,5,8,336,1,-1,0,3,0
1036,57.0,9,0,1,0,63.0,1,0,2,5,8,242,1,-1,0,3,0
1037,25.0,1,1,1,0,-7.0,1,0,2,5,8,365,1,-1,0,3,0
1038,53.0,9,1,1,0,-3.0,0,0,2,5,8,1666,1,-1,0,3,0
1039,36.0,0,0,1,0,506.0,1,0,2,5,8,577,1,-1,0,3,0
1040,37.0,0,2,1,0,0.0,1,0,2,5,8,137,1,-1,0,3,0
1041,44.0,7,0,1,0,2586.0,1,0,2,5,8,160,1,-1,0,3,0
1042,50.0,4,1,1,0,49.0,1,0,2,5,8,180,2,-1,0,3,0
1043,60.0,1,1,3,0,104.0,1,0,2,5,8,22,1,-1,0,3,0
1044,54.0,5,1,1,0,529.0,1,0,2,5,8,1492,1,-1,0,3,0
1045,58.0,5,1,3,0,96.0,1,0,2,5,8,616,1,-1,0,3,0
1046,36.0,0,2,0,0,-171.0,1,0,2,5,8,242,1,-1,0,3,0
1047,58.0,6,1,2,0,-364.0,1,0,2,5,8,355,1,-1,0,3,0
1048,44.0,9,1,1,0,0.0,1,0,2,5,8,225,2,-1,0,3,0
1049,55.0,9,0,1,0,0.0,0,0,2,5,8,160,1,-1,0,3,0
1050,29.0,4,2,2,0,0.0,1,0,2,5,8,363,1,-1,0,3,0
1051,54.0,1,1,1,0,1291.0,1,0,2,5,8,266,1,-1,0,3,0
1052,48.0,4,0,2,0,-244.0,1,0,2,5,8,253,1,-1,0,3,0
1053,32.0,4,1,2,0,0.0,1,0,2,5,8,179,1,-1,0,3,0
1062,53.0,9,0,1,0,989.0,1,0,2,5,8,812,1,-1,0,3,0
1063,57.0,1,1,0,0,249.0,1,0,2,5,8,164,1,-1,0,3,0
1064,33.0,7,1,1,0,790.0,1,0,2,5,8,391,1,-1,0,3,0
1065,49.0,1,1,3,0,154.0,1,0,2,5,8,357,1,-1,0,3,0
1066,51.0,4,1,2,0,6530.0,1,0,2,5,8,91,1,-1,0,3,0
1067,60.0,5,1,2,0,100.0,0,0,2,5,8,528,1,-1,0,3,0
1068,59.0,4,0,2,0,59.0,1,0,2,5,8,273,1,-1,0,3,0
1069,55.0,9,1,1,0,1205.0,1,0,2,5,8,158,2,-1,0,3,0
1070,35.0,1,2,1,0,12223.0,1,1,2,5,8,177,1,-1,0,3,0
1071,57.0,1,1,1,0,5935.0,1,1,2,5,8,258,1,-1,0,3,0
1072,31.0,7,1,1,0,25.0,1,1,2,5,8,172,1,-1,0,3,0
1073,54.0,4,1,1,0,282.0,1,1,2,5,8,154,1,-1,0,3,0
1074,55.0,1,1,0,0,23.0,1,0,2,5,8,291,1,-1,0,3,0
1075,43.0,9,1,1,0,1937.0,1,0,2,5,8,181,1,-1,0,3,0
1076,53.0,9,1,1,0,384.0,1,0,2,5,8,176,1,-1,0,3,0
1077,44.0,1,1,1,0,582.0,0,1,2,5,8,211,1,-1,0,3,0
1078,55.0,7,0,1,0,91.0,0,0,2,5,8,349,1,-1,0,3,0
1079,49.0,7,0,1,0,0.0,1,1,2,5,8,272,1,-1,0,3,0
1080,55.0,7,0,1,1,1.0,1,0,2,5,8,208,1,-1,0,3,0
1081,45.0,0,2,1,0,206.0,1,0,2,5,8,193,1,-1,0,3,0
1082,47.0,7,0,1,0,164.0,0,0,2,5,8,212,1,-1,0,3,0
1083,42.0,9,2,1,0,690.0,1,0,2,5,8,20,1,-1,0,3,0
1084,59.0,0,1,1,0,2343.0,1,0,2,5,8,1042,1,-1,0,3,1
1085,46.0,6,1,2,0,137.0,1,1,2,5,8,246,1,-1,0,3,0
1086,51.0,1,1,0,0,173.0,1,0,2,5,8,529,2,-1,0,3,0
1087,56.0,0,1,1,0,45.0,0,0,2,5,8,1467,1,-1,0,3,1
1088,41.0,9,1,1,0,1270.0,1,0,2,5,8,1389,1,-1,0,3,1
1089,46.0,4,0,1,0,16.0,1,1,2,5,8,188,2,-1,0,3,0
1090,57.0,5,1,1,0,486.0,1,0,2,5,8,180,2,-1,0,3,0
1091,42.0,4,2,1,0,50.0,0,0,2,5,8,48,1,-1,0,3,0
1092,30.0,9,1,1,0,152.0,1,1,2,5,8,213,2,-1,0,3,0
1093,60.0,0,1,1,0,290.0,1,0,2,5,8,583,1,-1,0,3,0
1094,60.0,1,1,3,0,54.0,1,0,2,5,8,221,1,-1,0,3,0
1095,57.0,2,0,1,0,-37.0,0,0,2,5,8,173,1,-1,0,3,0
1096,36.0,4,1,2,0,101.0,1,1,2,5,8,426,1,-1,0,3,0
1097,55.0,1,1,1,0,383.0,0,0,2,5,8,287,1,-1,0,3,0
1098,60.0,5,1,2,0,81.0,1,0,2,5,8,101,1,-1,0,3,0
1099,39.0,9,1,1,0,0.0,1,0,2,5,8,203,1,-1,0,3,0
1100,46.0,4,1,2,0,229.0,1,0,2,5,8,197,1,-1,0,3,0
1101,44.0,1,1,1,0,-674.0,1,0,2,5,8,257,1,-1,0,3,0
1102,53.0,1,1,0,0,90.0,0,0,2,5,8,124,1,-1,0,3,0
1103,52.0,1,1,0,0,128.0,1,0,2,5,8,229,1,-1,0,3,0
1104,59.0,1,1,0,0,179.0,1,0,2,5,8,55,3,-1,0,3,0
1105,27.0,9,2,2,0,0.0,1,0,2,5,8,400,1,-1,0,3,0
1106,44.0,1,1,1,0,54.0,1,0,2,5,8,197,1,-1,0,3,0
1107,47.0,9,1,2,0,151.0,1,0,2,5,8,190,1,-1,0,3,0
1108,34.0,0,1,1,0,61.0,0,1,2,5,8,21,1,-1,0,3,0
1109,59.0,5,2,1,0,30.0,1,0,2,5,8,514,1,-1,0,3,0
1110,45.0,4,1,2,0,523.0,1,0,2,5,8,849,2,-1,0,3,0
1111,29.0,7,0,1,0,31.0,1,0,2,5,8,194,1,-1,0,3,0
1112,46.0,9,0,1,0,79.0,0,0,2,5,8,144,1,-1,0,3,0
1113,56.0,6,1,0,0,-34.0,1,1,2,5,8,212,2,-1,0,3,0
1114,36.0,1,1,0,0,448.0,1,0,2,5,8,286,1,-1,0,3,0
1115,59.0,5,0,0,0,81.0,1,0,2,5,8,107,1,-1,0,3,0
1116,44.0,1,1,1,0,144.0,1,0,2,5,8,247,2,-1,0,3,0
1117,41.0,0,1,1,0,351.0,1,0,2,5,8,518,1,-1,0,3,0
1118,33.0,4,2,2,0,-67.0,1,0,2,5,8,364,1,-1,0,3,0
1119,59.0,4,0,2,0,262.0,0,0,2,5,8,178,1,-1,0,3,0
1120,57.0,9,1,0,0,0.0,0,0,2,5,8,98,1,-1,0,3,0
1121,56.0,9,0,3,0,56.0,1,0,2,5,8,439,1,-1,0,3,0
1122,51.0,1,1,1,0,26.0,1,0,2,5,8,79,1,-1,0,3,0
1123,34.0,0,1,3,0,3.0,1,0,2,5,8,120,3,-1,0,3,0
1124,43.0,7,1,1,0,41.0,1,1,2,5,8,127,2,-1,0,3,0
1125,52.0,9,1,2,0,7.0,0,1,2,5,8,175,1,-1,0,3,0
1126,33.0,9,2,1,0,105.0,1,0,2,5,8,262,2,-1,0,3,0
1127,29.0,0,2,1,0,818.0,1,1,2,5,8,61,1,-1,0,3,0
1128,34.0,7,1,1,0,-16.0,1,1,2,5,8,78,1,-1,0,3,0
1129,31.0,1,1,1,0,0.0,1,0,2,5,8,143,1,-1,0,3,0
1130,55.0,7,1,1,0,2476.0,1,0,2,5,8,579,1,-1,0,3,1
1131,55.0,4,1,3,0,1185.0,0,0,2,5,8,677,1,-1,0,3,0
1132,32.0,0,2,1,0,217.0,1,0,2,5,8,345,1,-1,0,3,0
1133,38.0,9,2,1,0,1685.0,1,0,2,5,8,185,1,-1,0,3,0
1134,55.0,0,2,1,0,802.0,1,1,2,5,8,100,2,-1,0,3,0
1135,28.0,10,2,2,0,0.0,1,0,2,5,8,125,2,-1,0,3,0
1136,23.0,1,1,1,0,94.0,1,0,2,5,8,193,1,-1,0,3,0
1137,32.0,9,2,1,0,0.0,1,0,2,5,8,136,1,-1,0,3,0
1138,43.0,7,2,3,0,0.0,0,0,2,5,8,73,1,-1,0,3,0
1139,32.0,1,1,1,0,517.0,1,0,2,5,8,528,1,-1,0,3,0
1140,46.0,1,1,1,0,265.0,1,0,2,5,8,541,1,-1,0,3,0
1141,53.0,3,0,0,0,947.0,1,0,2,5,8,163,1,-1,0,3,0
1142,34.0,6,2,1,0,3.0,1,0,2,5,8,301,1,-1,0,3,0
1143,57.0,10,1,2,0,42.0,0,0,2,5,8,46,1,-1,0,3,0
1144,37.0,1,1,1,0,37.0,1,0,2,5,8,204,1,-1,0,3,0
1145,59.0,1,1,1,0,57.0,1,0,2,5,8,98,1,-1,0,3,0
1146,33.0,7,1,1,0,22.0,1,0,2,5,8,71,1,-1,0,3,0
1147,56.0,1,0,0,0,8.0,1,0,2,5,8,157,2,-1,0,3,0
1148,48.0,10,1,1,0,293.0,1,0,2,5,8,243,1,-1,0,3,0
1149,43.0,7,1,0,0,3.0,1,0,2,5,8,186,2,-1,0,3,0
1150,54.0,1,1,0,0,348.0,1,0,2,5,8,579,2,-1,0,3,0
1151,51.0,1,1,3,0,-19.0,1,0,2,5,8,163,2,-1,0,3,0
1152,26.0,8,2,1,0,0.0,1,0,2,5,8,610,2,-1,0,3,0
